קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"אחוז העובדים ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה ולפי ממוצע לחודש עבודה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,העובדים,כל מקורות ההכנסה,לא,"2016,2017,2018,2019,2020,2021,2022","n_workers,pct_minwage_work,pct_minwage_year",5691,271,כן,,xlsx
"אחוז העצמאים (הכנסה מעבודה עצמאית), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016  (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,העצמאים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,pct_minwage_sub",3793,271,כן,,xlsx
"אחוז העצמאים שאינם שכירים (הכנסה מעבודה עצמאית), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,העצמאים שאינם שכירים,מעבודה עצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self_only,pct_minwage_sub",3774,270,לא,שם קובץ ארוך מדי,unified_all.csv
"אחוז העצמאים ששכרם אינו גבוה משכר המינימום (הכנסה מעבודה שכירה ועצמאית, לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016  (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,העצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_self,pct_minwage_sub",3778,270,לא,שם קובץ ארוך מדי,unified_all.csv
"אחוז השכירים (הכנסה מעבודה שכירה), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש עבודה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,השכירים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,pct_minwage_sub",3794,271,כן,,xlsx
"אחוז השכירים שאינם עצמאים (הכנסה מעבודה שכירה), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש עבודה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,השכירים שאינם עצמאים,מעבודה שכירה,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp_only,pct_minwage_sub",3780,270,לא,שם קובץ ארוך מדי,unified_all.csv
"אחוז השכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,השכירים שהינם גם עצמאים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_both,pct_minwage_sub",3756,270,לא,שם קובץ ארוך מדי,unified_all.csv
"אחוז השכירים ששכרם אינו גבוה משכר המינימום (הכנסה מעבודה שכירה ועצמאית, לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)",אחוז עד שכר מינימום,יישוב,השכירים,מעבודה שכירה ועצמאית,לא,"2016,2017,2018,2019,2020,2021,2022","n_emp,pct_minwage_sub",3780,270,לא,שם קובץ ארוך מדי,unified_all.csv
"משך העבודה של כלל העובדים, לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",משך העבודה,יישוב,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",12117,289,כן,,xlsx
"משך העבודה של כלל העובדים, לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",2352,56,כן,,xlsx
"משך העבודה של כלל העובדים, לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,כלל העובדים,כל מקורות ההכנסה,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_workers",924,15,כן,,xlsx
"משך העבודה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",משך העבודה,יישוב,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_both",11746,287,כן,,xlsx
"משך העבודה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023",משך העבודה,מועצה אזורית,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_both",2324,56,כן,,xlsx
"משך העבודה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023",משך העבודה,נפה/מחוז,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","dur_12,dur_1_2,dur_3_5,dur_6_8,dur_9_11,months_avg,n_both",924,15,כן,,xlsx
