,שכירים_22,שכר_22,שכירים_24,שכר_24,מדד_22,מדד_24,שינוי_מדד,שינוי_תעסוקה%,שינוי_שכר%,ידע%_22,ידע%_24,כיסוי_22
יסוד המעלה,886,13964.8,865,13567.9,116.5,104.6,-11.9,-2.4,-2.8,5.9,,74.9
מבואות חרמון,4052,12486.4,4363,12284.5,104.2,94.7,-9.5,7.7,-1.6,7.6,8.0,90.6
ראש פינה,1617,12481.7,1576,12807.1,104.1,98.7,-5.4,-2.5,2.6,6.6,,84.5
גליל עליון,8778,12066.2,8429,13507.2,100.7,104.1,3.4,-4.0,11.9,9.0,9.3,97.4
גולן,9343,11305.0,9841,12399.5,94.3,95.6,1.2,5.3,9.7,6.4,6.4,95.1
מטולה,1018,11158.6,1131,10879.8,93.1,83.8,-9.3,11.1,-2.5,8.2,,79.1
גוש חלב(ג'ש),1643,10863.4,1680,11911.4,90.6,91.8,1.2,2.3,9.6,3.2,,91.5
מרום הגליל,7057,10767.4,6875,11145.7,89.8,85.9,-3.9,-2.6,3.5,5.2,4.0,91.6
קרית שמונה,11873,9368.1,10907,10218.8,78.2,78.8,0.6,-8.1,9.1,7.5,7.7,96.5
קצרין,4069,8867.9,4190,9642.6,74.0,74.3,0.3,3.0,8.7,8.1,7.6,94.8
חצור הגלילית,4919,8715.4,4747,9934.6,72.7,76.6,3.8,-3.5,14.0,4.1,3.9,96.1
עג'ר,1354,8618.4,1118,10116.6,71.9,78.0,6.1,-17.4,17.4,,,92.3
עין קיניה,1062,8058.1,1047,8294.1,67.2,63.9,-3.3,-1.4,2.9,1.3,,91.0
צפת,13856,7823.7,13746,8442.5,65.3,65.1,-0.2,-0.8,7.9,2.5,2.0,97.5
טובא-זנגריה,3448,7722.5,3457,8641.8,64.4,66.6,2.2,0.3,11.9,1.1,,97.9
בוקעתא,3012,7679.8,3111,8227.7,64.1,63.4,-0.7,3.3,7.1,1.5,,95.9
מג'דל שמס,4855,7454.9,4908,8102.5,62.2,62.4,0.2,1.1,8.7,3.3,2.9,97.1
מסעדה,1694,7055.0,1783,7690.7,58.9,59.3,0.4,5.3,9.0,0.6,,90.4
