,n22,w22,N22,W22,n24,w24,N24,W24,dn,dn_nat,dw,ratio22,ratio24,dratio
1,4373,7566.1,47820,7947.9,4603.0,8268.1,48460,8514.2,5.3,1.3,9.3,95.2,97.1,1.9
10,1837,10134.0,68538,9921.2,1887.0,10705.0,70086,10603.5,2.7,2.3,5.6,102.1,101.0,-1.2
11+12,739,10475.1,6849,13627.8,755.0,12676.6,8521,14655.8,2.2,24.4,21.0,76.9,86.5,9.6
13+14+15,469,11355.9,8420,10092.1,410.0,12632.7,8207,11017.6,-12.6,-2.5,11.2,112.5,114.7,2.1
16+17+18,403,11272.0,17654,12130.3,378.0,12673.8,16647,12918.7,-6.2,-5.7,12.4,92.9,98.1,5.2
19+20,521,12370.9,19900,19110.1,616.0,13856.2,19777,20195.7,18.2,-0.6,12.0,64.7,68.6,3.9
2+3+4,667,10389.0,7603,12309.6,727.0,11140.2,7794,13491.9,9.0,2.5,7.2,84.4,82.6,-1.8
21,84,10496.4,11238,20928.1,106.0,11124.8,10954,22802.6,26.2,-2.5,6.0,50.2,48.8,-1.4
22,1124,11943.2,23555,12991.2,959.0,14274.2,21481,14290.8,-14.7,-8.8,19.5,91.9,99.9,8.0
23+24+25,829,12913.5,55227,14014.9,825.0,14557.0,55016,15346.6,-0.5,-0.4,12.7,92.1,94.9,2.7
26,1059,15812.6,62858,23770.5,875.0,20315.2,63736,25982.4,-17.4,1.4,28.5,66.5,78.2,11.7
27+28,1147,12683.7,33440,18155.6,1003.0,13946.7,31149,19812.5,-12.6,-6.9,10.0,69.9,70.4,0.5
29+30,274,16446.9,23726,22989.8,310.0,18554.6,25330,24878.6,13.1,6.8,12.8,71.5,74.6,3.0
31+32+33+34,1376,12462.7,34277,12881.5,1185.0,13969.5,33825,14260.9,-13.9,-1.3,12.1,96.7,98.0,1.2
35+36+37+38+39,590,16473.7,28800,21151.9,622.0,18698.0,29904,23164.3,5.4,3.8,13.5,77.9,80.7,2.8
41,1660,8555.8,86616,11980.6,1871.0,9026.7,92998,12807.7,12.7,7.4,5.5,71.4,70.5,-0.9
42,907,9815.5,36914,12711.4,888.0,10500.0,38275,13679.8,-2.1,3.7,7.0,77.2,76.8,-0.5
43,1839,8026.2,116610,9910.0,1853.0,8825.9,120240,10639.2,0.8,3.1,10.0,81.0,83.0,2.0
45,839,10817.6,56933,12039.4,682.0,11508.3,59257,12610.3,-18.7,4.1,6.4,89.9,91.3,1.4
46,2042,10795.7,183379,13711.3,1947.0,12135.6,176955,14657.0,-4.7,-3.5,12.4,78.7,82.8,4.1
47,5766,6410.0,342962,7295.9,5760.0,6587.3,354560,7653.0,-0.1,3.4,2.8,87.9,86.1,-1.8
49,1846,9629.9,100234,10770.9,1826.0,10599.3,105827,11726.1,-1.1,5.6,10.1,89.4,90.4,1.0
5+6+7+8,126,17257.6,4472,26434.8,136.0,20525.9,4601,28798.9,7.9,2.9,18.9,65.3,71.3,6.0
50+51+52+53,536,11488.1,58521,15200.3,516.0,14044.7,55035,17890.8,-3.7,-6.0,22.3,75.6,78.5,2.9
55,2663,6945.9,41209,8593.4,1569.0,8110.1,35888,9830.5,-41.1,-12.9,16.8,80.8,82.5,1.7
56,5147,4962.4,246937,5010.0,4569.0,5066.1,257057,5301.7,-11.2,4.1,2.1,99.0,95.6,-3.5
58+59+60,158,13456.3,18232,12323.4,160.0,13263.6,17126,13482.9,1.3,-6.1,-1.4,109.2,98.4,-10.8
61,301,11042.4,20398,16753.0,291.0,13436.0,19419,18672.4,-3.3,-4.8,21.7,65.9,72.0,6.0
62+63,1612,20972.6,223882,29261.5,1713.0,24194.2,232351,31994.1,6.3,3.8,15.4,71.7,75.6,3.9
64+65+66,1018,14380.1,118436,21104.6,1064.0,15860.4,118854,21885.1,4.5,0.4,10.3,68.1,72.5,4.3
68,416,11414.5,35339,14074.7,393.0,12993.5,35742,15393.5,-5.5,1.1,13.8,81.1,84.4,3.3
69,834,9276.2,74982,12755.3,863.0,10199.9,77888,13434.3,3.5,3.9,10.0,72.7,75.9,3.2
70,979,10210.6,48629,16095.0,1081.0,10678.5,50931,16796.8,10.4,4.7,4.6,63.4,63.6,0.1
71,1029,11457.5,61508,14596.1,1062.0,12675.2,61923,15541.5,3.2,0.7,10.6,78.5,81.6,3.1
72,755,17924.6,48924,29323.1,822.0,20487.7,51640,34019.0,8.9,5.6,14.3,61.1,60.2,-0.9
73+74+75,762,8335.7,49466,11414.7,668.0,9978.7,46750,12762.2,-12.3,-5.5,19.7,73.0,78.2,5.2
77+79,526,8108.8,28199,11043.4,432.0,9568.5,26353,12539.6,-17.9,-6.5,18.0,73.4,76.3,2.9
78,1118,4944.2,73185,5825.4,1150.0,5424.4,69828,6099.3,2.9,-4.6,9.7,84.9,88.9,4.1
80,792,7290.8,47388,7598.4,790.0,8565.0,50100,9072.4,-0.3,5.7,17.5,96.0,94.4,-1.5
81,1450,5631.1,104011,6551.8,1206.0,6852.7,104339,7323.5,-16.8,0.3,21.7,85.9,93.6,7.6
82,1087,6479.4,52739,7462.5,1058.0,6981.8,50447,8069.6,-2.7,-4.3,7.8,86.8,86.5,-0.3
83,4274,9097.0,199765,10369.9,4602.0,10262.5,215694,11536.4,7.7,8.0,12.8,87.7,89.0,1.2
84,1811,17536.8,84209,17988.6,1921.0,18906.8,91337,19488.5,6.1,8.5,7.8,97.5,97.0,-0.5
85,10732,10470.0,436500,10309.9,11534.0,11550.9,475354,11163.3,7.5,8.9,10.3,101.6,103.5,1.9
86,2266,12917.5,179166,15055.5,2461.0,13715.3,189550,16108.9,8.6,5.8,6.2,85.8,85.1,-0.7
87+88,5109,4407.9,302131,4967.3,5778.0,4606.3,332238,5177.2,13.1,10.0,4.5,88.7,89.0,0.2
90+91+92,705,8386.5,24531,9164.3,495.0,10990.9,23122,10179.7,-29.8,-5.7,31.1,91.5,108.0,16.5
93,1464,5990.0,49866,5859.1,1043.0,7021.5,51649,6163.2,-28.8,3.6,17.2,102.2,113.9,11.7
94,2450,6168.1,108208,6597.4,2664.0,6495.8,115821,7018.5,8.7,7.0,5.3,93.5,92.6,-0.9
95+96,370,6419.5,26908,7508.6,369.0,6546.1,27468,7996.8,-0.3,2.1,2.0,85.5,81.9,-3.6
