anaf,n,months,wage,rashut,ענף,ratio,w_nat
1,59,8.3,8188.8,ראש פינה,גידולים צמחיים,96.2,8514.2
47,82,9.4,7905.3,ראש פינה,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",103.3,7653.0
56,150,7.8,5243.3,ראש פינה,שירותי מזון ומשקאות,98.9,5301.7
83,98,8.6,9937.5,ראש פינה,מינהל מקומי,86.1,11536.4
84,55,11.5,32498.3,ראש פינה,מינהל ציבורי וביטחון; ביטוח לאומי חובה,166.8,19488.5
85,205,10.3,12884.4,ראש פינה,חינוך,115.4,11163.3
86,58,9.7,14720.1,ראש פינה,שירותי בריאות,91.4,16108.9
87+88,65,8.5,5571.6,ראש פינה,מגורים טיפוליים +,107.6,5177.2
94,80,9.5,7619.3,ראש פינה,פעילויות של ארגוני חברים,108.6,7018.5
1,64,9.2,10929.7,יסוד המעלה,גידולים צמחיים,128.4,8514.2
56,73,7.9,5262.6,יסוד המעלה,שירותי מזון ומשקאות,99.3,5301.7
85,91,10.2,12543.0,יסוד המעלה,חינוך,112.4,11163.3
1,55,8.6,7994.0,מטולה,גידולים צמחיים,93.9,8514.2
47,57,7.4,8541.3,מטולה,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",111.6,7653.0
56,92,7.0,4052.0,מטולה,שירותי מזון ומשקאות,76.4,5301.7
83,59,8.6,10272.9,מטולה,מינהל מקומי,89.0,11536.4
85,162,8.8,11084.0,מטולה,חינוך,99.3,11163.3
87+88,84,8.3,5740.9,מטולה,מגורים טיפוליים +,110.9,5177.2
94,57,9.0,7373.2,מטולה,פעילויות של ארגוני חברים,105.1,7018.5
1,83,9.7,9936.3,ג'ש (גוש חלב),גידולים צמחיים,116.7,8514.2
10,56,10.9,9948.5,ג'ש (גוש חלב),ייצור מוצרי מזון,93.8,10603.5
31+32+33+34,84,11.1,12255.4,ג'ש (גוש חלב),ייצור רהיטים +,85.9,14260.9
43,52,9.0,9134.6,ג'ש (גוש חלב),עבודות בנייה מיוחדות,85.9,10639.2
47,119,9.8,9036.2,ג'ש (גוש חלב),"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",118.1,7653.0
56,70,9.0,5915.5,ג'ש (גוש חלב),שירותי מזון ומשקאות,111.6,5301.7
69,55,10.1,9195.7,ג'ש (גוש חלב),שירותים משפטיים ושירותי חשבונאות,68.4,13434.3
