rashut,כיסוי%,שכירים_מכוסים,שכירים_חסרים,שכר_מכוסה,שכר_חסר_משתמע,יחס_חסר_למכוסה%,שכר_מפורסם
צפת,94.6,13000,746,8195.1,12752.7,155.6,8442.5
קריית שמונה,93.4,10182,725,10020.1,13009.3,129.8,10218.8
הגליל העליון,92.5,7797,632,13366.9,15237.5,114.0,13507.2
גולן,92.5,9101,740,12149.6,15472.1,127.3,12399.5
מג'דל שמס,86.6,4251,657,8043.5,8484.2,105.5,8102.5
מרום הגליל,85.7,5893,982,10661.6,14051.0,131.8,11145.7
קצרין,84.1,3524,666,9282.8,11546.4,124.4,9642.6
חצור הגלילית,83.6,3967,780,9431.6,12492.8,132.5,9934.6
טובא-זנגרייה,83.4,2883,574,8633.0,8686.2,100.6,8641.8
בוקעאתא,76.0,2364,747,8006.4,8928.1,111.5,8227.7
מבואות החרמון,74.6,3254,1109,12003.5,13109.1,109.2,12284.5
מסעדה,71.6,1277,506,7258.4,8781.8,121.0,7690.7
ג'ש (גוש חלב),59.9,1006,674,11793.6,12087.3,102.5,11911.4
ראש פינה,54.1,852,724,10734.6,15245.9,142.0,12807.1
מטולה,50.0,566,565,8133.4,13631.1,167.6,10879.8
עין קנייא,41.4,433,614,7864.4,8597.1,109.3,8294.1
ע'ג'ר,41.0,458,660,9982.3,10209.7,102.3,10116.6
יסוד המעלה,26.4,228,637,9759.1,14931.2,153.0,13567.9
