,n,months,wage,יחס_לארצי%,חלק_מהשכירים%
גוש חלב(ג'ש),123,10.6,15455.1,138.4,7.3
בוקעתא,247,10.7,14444.6,129.4,7.9
עג'ר,122,9.9,14442.9,129.4,10.9
גולן,1732,10.5,14145.0,126.7,17.6
טובא-זנגריה,130,10.8,13724.2,122.9,3.8
מג'דל שמס,450,10.7,13074.7,117.1,9.2
עין קיניה,85,10.5,13018.1,116.6,8.1
ראש פינה,205,10.3,12884.4,115.4,13.0
גליל עליון,1208,10.0,12883.1,115.4,14.3
יסוד המעלה,91,10.2,12543.0,112.4,10.5
מבואות חרמון,514,9.9,12312.9,110.3,11.8
קצרין,544,10.4,12029.0,107.8,13.0
מסעדה,143,10.4,11902.8,106.6,8.0
מטולה,162,8.8,11084.0,99.3,14.3
קרית שמונה,1180,9.8,10978.6,98.3,10.8
מרום הגליל,971,9.7,10774.2,96.5,14.1
חצור הגלילית,653,10.1,10492.3,94.0,13.8
צפת,2974,9.9,8991.2,80.5,21.6
