anaf,ענף,רשויות,שכירים,מינימום,מקסימום,יחס_חציוני,פי
43,עבודות בנייה מיוחדות,13,1728,5133.4,13770.2,93.5,2.7
46,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",12,1782,7381.0,17893.2,66.1,2.4
84,מינהל ציבורי וביטחון; ביטוח לאומי חובה,11,1773,15295.6,32498.3,99.9,2.1
87+88,מגורים טיפוליים +,17,5751,3253.4,6306.3,88.6,1.9
1,גידולים צמחיים,17,4555,5731.4,10929.7,96.3,1.9
47,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",17,5725,4745.0,9036.2,87.6,1.9
83,מינהל מקומי,16,4523,8105.9,14787.6,90.2,1.8
55,שירותי אירוח,10,1378,6351.0,11392.2,80.8,1.8
10,ייצור מוצרי מזון,10,1728,8775.6,15383.7,94.5,1.8
49,הובלה יבשתית והובלה באמצעות קווי צינורות,11,1617,7707.8,13460.3,95.2,1.7
85,חינוך,18,11534,8991.2,15455.1,113.9,1.7
94,פעילויות של ארגוני חברים,10,2496,4886.7,8349.2,106.8,1.7
56,שירותי מזון ומשקאות,15,4479,3624.2,6002.1,96.4,1.7
86,שירותי בריאות,15,2368,10824.3,17094.8,85.6,1.6
