eshkol_name,n_workers,wage_work_mean,wage_work_med,מדד_ממוצע,מדד_חציון,חציון_חלקי_ממוצע,מקום_ארצי,מתוך
גליל עליון,9285.0,15578.0,12179.0,105.6,117.1,78.2,124,341
גולן,10198.0,14775.0,11472.0,100.2,110.3,77.6,146,341
ראש פינה,1758.0,14575.0,10714.0,98.8,103.0,73.5,153,341
מבואות חרמון,4588.0,14255.0,11000.0,96.6,105.8,77.2,158,341
מטולה,1185.0,13561.0,9948.0,91.9,95.6,73.4,175,341
גוש חלב(ג'ש),1836.0,12973.0,10053.0,87.9,96.7,77.5,189,341
מרום הגליל,8250.0,12691.0,10139.0,86.0,97.5,79.9,196,341
קרית שמונה,12017.0,12578.0,10276.0,85.3,98.8,81.7,200,341
קצרין,4494.0,11578.0,9493.0,78.5,91.3,82.0,223,341
עג'ר,1149.0,11507.0,9410.0,78.0,90.5,81.8,227,341
חצור הגלילית,5454.0,11487.0,9398.0,77.9,90.4,81.8,228,341
צפת,15758.0,10074.0,7849.0,68.3,75.5,77.9,274,341
טובא-זנגריה,3475.0,9552.0,8169.0,64.8,78.5,85.5,291,341
עין קיניה,1147.0,9392.0,7129.0,63.7,68.5,75.9,302,341
בוקעתא,3553.0,9238.0,6777.0,62.6,65.2,73.4,309,341
מג'דל שמס,6165.0,9127.0,6539.0,61.9,62.9,71.6,312,341
מסעדה,2107.0,8699.0,6218.0,59.0,59.8,71.5,327,341
