eshkol_name,מועסקים,שכר_ממוצע,שכר_חציוני,מדד_ממוצע,מדד_חציון,חציון_חלקי_ממוצע,עד_שכר_מינימום,מעל_פי2_מהממוצע,שעבדו_12_חודשים,עבדו_1-2_חודשים,שכר_גברים,n_גברים,שינוי_גברים,שכר_נשים,n_נשים,שינוי_נשים,יחס_מגדרי,שיעור_נשים,שיעור_עצמאים,יחס_עצמאי_לשכיר,שינוי_מועסקים_23_24,שינוי_שכר_23_24,שינוי_חציון_23_24,צמיחת_שכר_16_24,מקום_ארצי
גליל עליון,9285.0,15578.0,12179.0,105.6,117.1,78.2,29.4,12.2,68.4,4.6,19055.0,4590.0,-4.7,12084.0,4695.0,-6.7,63.4,50.6,15.4,59.0,-5.7,10.3,9.7,44.6,124
גולן,10198.0,14775.0,11472.0,100.2,110.3,77.6,31.4,11.1,70.1,4.6,18388.0,5094.0,0.7,11075.0,5104.0,1.5,60.2,50.0,23.5,60.7,1.1,8.9,5.9,43.5,146
ראש פינה,1758.0,14575.0,10714.0,98.8,103.0,73.5,35.8,12.0,72.4,4.8,17754.0,867.0,-4.6,11413.0,891.0,-0.7,64.3,50.7,24.3,55.4,-2.7,8.0,7.5,29.4,153
מבואות חרמון,4588.0,14255.0,11000.0,96.6,105.8,77.2,32.2,10.2,71.8,4.8,17017.0,2317.0,-6.3,11319.0,2271.0,-5.1,66.5,49.5,24.5,66.1,-5.7,8.6,10.0,34.0,158
מטולה,1185.0,13561.0,9948.0,91.9,95.6,73.4,37.8,8.8,60.3,7.3,16352.0,598.0,-11.1,10557.0,587.0,-13.0,64.6,49.5,19.4,72.0,-12.1,16.8,17.8,,175
גוש חלב(ג'ש),1836.0,12973.0,10053.0,87.9,96.7,77.5,33.0,7.5,71.2,4.2,15091.0,959.0,-0.2,10537.0,877.0,-1.8,69.8,47.8,18.4,74.4,-1.0,5.3,5.7,32.9,189
מרום הגליל,8250.0,12691.0,10139.0,86.0,97.5,79.9,35.1,6.8,71.1,5.1,15031.0,4306.0,0.2,10044.0,3944.0,0.1,66.8,47.8,25.3,64.2,0.1,5.2,5.2,33.9,196
קרית שמונה,12017.0,12578.0,10276.0,85.3,98.8,81.7,35.3,5.9,63.9,7.0,15000.0,6192.0,-12.1,9900.0,5825.0,-15.5,66.0,48.5,11.6,71.8,-13.8,12.5,14.2,38.7,200
קצרין,4494.0,11578.0,9493.0,78.5,91.3,82.0,34.6,4.9,68.0,5.3,13721.0,2262.0,-1.7,9393.0,2232.0,-2.4,68.5,49.7,13.1,78.6,-2.0,5.6,4.0,36.7,223
עג'ר,1149.0,11507.0,9410.0,78.0,90.5,81.8,37.8,4.2,63.4,7.7,13672.0,745.0,-12.5,6664.0,404.0,-33.8,48.7,35.2,16.7,63.5,-21.4,13.9,21.6,37.8,227
חצור הגלילית,5454.0,11487.0,9398.0,77.9,90.4,81.8,34.2,4.6,69.4,5.1,13735.0,2694.0,-3.4,9242.0,2760.0,-2.7,67.3,50.6,11.8,75.6,-3.1,6.1,5.3,37.6,228
צפת,15758.0,10074.0,7849.0,68.3,75.5,77.9,45.9,3.6,63.3,6.1,11744.0,7554.0,-3.5,8528.0,8204.0,-1.2,72.6,52.1,13.2,79.5,-2.3,4.9,7.2,29.7,274
טובא-זנגריה,3475.0,9552.0,8169.0,64.8,78.5,85.5,41.2,1.6,59.8,5.8,11406.0,1865.0,1.4,7366.0,1610.0,-0.6,64.6,46.3,9.5,93.9,0.5,5.2,5.4,34.3,291
עין קיניה,1147.0,9392.0,7129.0,63.7,68.5,75.9,48.4,2.0,63.9,6.3,11228.0,680.0,-1.9,6557.0,467.0,-2.9,58.4,40.7,23.7,70.4,-2.3,7.5,9.3,26.5,302
בוקעתא,3553.0,9238.0,6777.0,62.6,65.2,73.4,50.8,2.8,63.2,5.7,11363.0,2065.0,-0.8,6050.0,1488.0,0.1,53.2,41.9,17.7,79.5,-0.4,5.4,5.6,33.8,309
מג'דל שמס,6165.0,9127.0,6539.0,61.9,62.9,71.6,52.0,3.1,64.5,5.3,10903.0,3512.0,-0.3,6703.0,2653.0,0.3,61.5,43.0,26.2,86.7,-0.0,6.7,5.0,37.0,312
מסעדה,2107.0,8699.0,6218.0,59.0,59.8,71.5,53.4,2.7,65.3,4.8,10347.0,1226.0,1.1,6166.0,881.0,2.1,59.6,41.8,23.0,86.5,1.5,6.4,4.8,29.8,327
