name,n,idx,peers,minw,minw_peer,top,top_peer,d_minw,d_top
גליל עליון,9285,105.6,14,29.35,30.87,12.2,12.15,-1.52,0.05
גולן,10198,100.2,23,31.35,30.65,11.15,10.69,0.7,0.46
ראש פינה,1758,98.8,21,35.8,31.36,12.05,10.27,4.44,1.78
מבואות חרמון,4588,96.6,16,32.25,31.28,10.2,9.68,0.97,0.52
מטולה,1185,91.9,19,37.8,33.34,8.8,8.79,4.46,0.01
גוש חלב(ג'ש),1836,87.9,22,33.0,32.91,7.5,7.47,0.09,0.03
מרום הגליל,8250,86.0,17,35.1,32.44,6.75,6.98,2.66,-0.23
קרית שמונה,12017,85.3,12,35.3,33.71,5.9,6.97,1.59,-1.07
קצרין,4494,78.5,23,34.6,35.47,4.85,5.12,-0.87,-0.27
עג'ר,1149,78.0,26,37.75,36.33,4.2,5.09,1.42,-0.89
חצור הגלילית,5454,77.9,28,34.25,36.45,4.65,5.04,-2.2,-0.39
צפת,15758,68.3,33,45.9,42.49,3.55,3.02,3.41,0.53
טובא-זנגריה,3475,64.8,35,41.25,44.42,1.6,2.38,-3.17,-0.78
עין קיניה,1147,63.7,32,48.4,45.03,2.0,2.2,3.37,-0.2
בוקעתא,3553,62.6,32,50.75,45.39,2.8,2.2,5.36,0.6
מג'דל שמס,6165,61.9,32,51.95,45.78,3.05,2.11,6.17,0.94
מסעדה,2107,59.0,22,53.4,48.35,2.75,1.76,5.05,0.99
