אזור,בסיס,גברים,נשים,יחס,חלק_נשים
ארצי,לחודש עבודה,17733.0,11659.0,65.7,49.4
ארצי,לחודש בשנה,15531.0,10091.0,65.0,49.4
תל-אביב,לחודש עבודה,21793.0,14098.0,64.7,50.8
תל-אביב,לחודש בשנה,19542.0,12452.0,63.7,50.8
המרכז,לחודש עבודה,20427.0,13126.0,64.3,50.3
המרכז,לחודש בשנה,18138.0,11515.0,63.5,50.3
חיפה,לחודש עבודה,17380.0,10978.0,63.2,49.4
חיפה,לחודש בשנה,15314.0,9541.0,62.3,49.4
הצפון,לחודש עבודה,14368.0,9350.0,65.1,47.1
הצפון,לחודש בשנה,12468.0,7930.0,63.6,47.1
הדרום,לחודש עבודה,15725.0,10361.0,65.9,48.6
הדרום,לחודש בשנה,13508.0,8851.0,65.5,48.6
ירושלים,לחודש עבודה,13704.0,10223.0,74.6,48.0
ירושלים,לחודש בשנה,11700.0,8678.0,74.2,48.0
נפת צפת,לחודש עבודה,14825.0,9917.0,66.9,49.8
נפת צפת,לחודש בשנה,12685.0,8264.0,65.1,49.8
נפת גולן,לחודש עבודה,13948.0,8787.0,63.0,45.9
נפת גולן,לחודש בשנה,12041.0,7296.0,60.6,45.9
