eshkol_name,2016,2017,2018,2019,2020,2021,2022
בוקעתא,51.2,52.1,55.1,53.0,53.3,49.2,47.6
גוש חלב(ג'ש),31.9,32.3,30.8,31.7,32.4,28.6,27.1
חצור הגלילית,37.4,37.1,37.4,36.0,37.3,34.8,34.5
טובא-זנגריה,41.0,41.2,41.6,42.7,43.8,38.5,35.7
מג'דל שמס,53.6,53.9,55.6,53.8,55.3,50.0,48.5
מסעדה,56.0,56.6,57.3,55.8,55.9,52.1,51.9
עג'ר,37.9,38.5,44.3,42.6,45.4,38.6,37.0
עין קיניה,49.2,51.1,50.6,49.4,51.8,49.0,48.8
צפת,46.0,46.5,47.6,45.0,45.9,44.6,42.7
קצרין,36.1,36.9,38.0,34.9,36.4,34.6,32.2
קרית שמונה,33.1,33.7,34.0,32.3,34.0,32.2,30.9
ראש פינה,37.1,37.7,38.1,37.7,37.2,34.8,33.1
— כלל יישובי הארץ —,32.8,33.4,34.4,33.1,34.5,32.0,30.5
