eshkol_name,emp_m,emp_mo,emp_n,self_m,self_mo,self_n,emp_y,self_y
בוקעתא,9252.0,10.0,3084.0,7356.0,12.0,628.0,88172.0,87389.0
גולן,15303.0,10.0,8611.0,9289.0,12.0,2393.0,150275.0,110539.0
גוש חלב(ג'ש),12963.0,10.0,1608.0,9639.0,12.0,337.0,131056.0,114608.0
גליל עליון,15940.0,10.0,8385.0,9410.0,12.0,1429.0,157487.0,111603.0
חצור הגלילית,11532.0,10.0,5005.0,8715.0,12.0,644.0,116358.0,101443.0
טובא-זנגריה,9396.0,10.0,3244.0,8822.0,12.0,331.0,90390.0,104188.0
מבואות חרמון,14909.0,10.0,3740.0,9861.0,12.0,1126.0,147003.0,117445.0
מג'דל שמס,9003.0,9.0,4953.0,7807.0,12.0,1617.0,84268.0,93138.0
מטולה,13844.0,9.0,1023.0,9969.0,12.0,230.0,124873.0,117933.0
מסעדה,8644.0,10.0,1728.0,7474.0,12.0,485.0,82377.0,88941.0
מרום הגליל,13213.0,10.0,6743.0,8478.0,12.0,2085.0,129620.0,100973.0
עג'ר,11624.0,9.0,1037.0,7376.0,12.0,192.0,108103.0,88143.0
עין קיניה,9549.0,9.0,960.0,6719.0,12.0,272.0,89379.0,80023.0
צפת,10099.0,10.0,14231.0,8026.0,12.0,2075.0,97859.0,94306.0
קצרין,11621.0,10.0,4057.0,9139.0,12.0,588.0,115978.0,108480.0
קרית שמונה,12703.0,10.0,11020.0,9115.0,12.0,1399.0,121822.0,108013.0
ראש פינה,15551.0,10.0,1460.0,8620.0,12.0,427.0,152244.0,103009.0
