,year,pct_both,pct_emp_only,pct_self_only
גולן,2016,8.2,79.4,12.4
גולן,2017,7.4,80.0,12.6
גולן,2018,7.9,80.0,12.2
גולן,2020,7.3,79.1,13.6
גולן,2021,7.7,77.6,14.7
גולן,2022,8.3,77.1,14.6
גליל עליון,2016,4.6,89.0,6.4
גליל עליון,2017,4.2,89.3,6.4
גליל עליון,2018,4.6,88.9,6.5
גליל עליון,2020,5.2,88.1,6.8
גליל עליון,2021,5.3,86.6,8.1
גליל עליון,2022,6.0,85.6,8.4
מבואות חרמון,2016,7.4,76.6,16.0
מבואות חרמון,2017,6.7,77.5,15.8
מבואות חרמון,2018,6.7,77.6,15.7
מבואות חרמון,2020,6.8,76.0,17.2
מבואות חרמון,2021,6.5,75.6,17.9
מבואות חרמון,2022,6.6,75.7,17.7
מרום הגליל,2016,8.0,73.6,18.4
מרום הגליל,2017,7.1,74.7,18.1
מרום הגליל,2018,7.1,74.9,17.9
מרום הגליל,2020,6.9,73.7,19.4
מרום הגליל,2021,6.9,74.1,19.1
מרום הגליל,2022,7.5,73.8,18.7
— כלל המועצות האזוריות —,2016,5.2,84.5,10.3
— כלל המועצות האזוריות —,2017,4.7,85.1,10.2
— כלל המועצות האזוריות —,2018,4.8,85.0,10.3
— כלל המועצות האזוריות —,2020,4.8,84.1,11.0
— כלל המועצות האזוריות —,2021,5.0,83.6,11.3
— כלל המועצות האזוריות —,2022,5.4,83.4,11.2
