entity,status,ses,n,peers,idx,idx_p,d_idx,minw,minw_p,d_minw,top,top_p,d_top,mm,mm_p,d_mm,gr,gr_p,d_gr,fs,fs_p,d_fs,d12,d12_p,d_d12,dN,dN_p,d_dN
ג'ש (גוש חלב),מועצה מקומית,7,1836,39,87.95,110.78,-22.84,33.0,27.67,5.33,7.5,13.83,-6.33,77.49,75.05,2.45,69.82,64.13,5.7,47.77,49.67,-1.9,71.2,73.18,-1.98,-0.97,0.61,-1.58
מטולה,מועצה מקומית,7,1185,39,91.93,110.78,-18.85,37.8,27.67,10.13,8.8,13.83,-5.03,73.36,75.05,-1.69,64.56,64.13,0.43,49.54,49.67,-0.13,60.3,73.18,-12.88,-12.09,0.61,-12.7
מבואות החרמון,מועצה אזורית,7,4588,39,96.64,110.78,-14.15,32.25,27.67,4.58,10.2,13.83,-3.63,77.17,75.05,2.12,66.52,64.13,2.39,49.5,49.67,-0.17,71.8,73.18,-1.38,-5.71,0.61,-6.33
ראש פינה,מועצה מקומית,7,1758,39,98.81,110.78,-11.98,35.8,27.67,8.13,12.05,13.83,-1.78,73.51,75.05,-1.54,64.28,64.13,0.16,50.68,49.67,1.01,72.4,73.18,-0.78,-2.66,0.61,-3.27
מסעדה,מועצה מקומית,3,2107,42,58.97,67.51,-8.54,53.4,42.98,10.42,2.75,3.06,-0.31,71.48,78.62,-7.14,59.59,65.64,-6.04,41.81,45.18,-3.37,65.3,65.39,-0.09,1.49,1.81,-0.31
קצרין,מועצה מקומית,5,4494,36,78.49,86.36,-7.87,34.6,34.07,0.53,4.85,7.18,-2.33,81.99,78.05,3.94,68.46,64.06,4.39,49.67,48.87,0.79,68.0,70.45,-2.45,-2.03,1.23,-3.25
מג'דל שמס,מועצה מקומית,3,6165,42,61.87,67.51,-5.64,51.95,42.98,8.97,3.05,3.06,-0.01,71.64,78.62,-6.98,61.48,65.64,-4.16,43.03,45.18,-2.15,64.5,65.39,-0.89,-0.02,1.81,-1.82
הגליל העליון,מועצה אזורית,7,9285,39,105.61,110.78,-5.18,29.35,27.67,1.68,12.2,13.83,-1.63,78.18,75.05,3.13,63.42,64.13,-0.71,50.57,49.67,0.9,68.4,73.18,-4.78,-5.73,0.61,-6.34
בוקעאתא,מועצה מקומית,3,3553,42,62.63,67.51,-4.89,50.75,42.98,7.77,2.8,3.06,-0.26,73.36,78.62,-5.26,53.24,65.64,-12.39,41.88,45.18,-3.3,63.2,65.39,-2.19,-0.45,1.81,-2.25
עין קנייא,מועצה מקומית,3,1147,42,63.67,67.51,-3.84,48.4,42.98,5.42,2.0,3.06,-1.06,75.91,78.62,-2.72,58.4,65.64,-7.24,40.71,45.18,-4.47,63.9,65.39,-1.49,-2.3,1.81,-4.11
טובא-זנגרייה,מועצה מקומית,3,3475,42,64.75,67.51,-2.76,41.25,42.98,-1.73,1.6,3.06,-1.46,85.52,78.62,6.9,64.58,65.64,-1.06,46.33,45.18,1.15,59.8,65.39,-5.59,0.49,1.81,-1.31
קריית שמונה,עירייה,5,12017,36,85.27,86.36,-1.09,35.3,34.07,1.23,5.9,7.18,-1.28,81.7,78.05,3.65,66.0,64.06,1.94,48.47,48.87,-0.4,63.9,70.45,-6.55,-13.79,1.23,-15.02
מרום הגליל,מועצה אזורית,5,8250,36,86.03,86.36,-0.32,35.1,34.07,1.03,6.75,7.18,-0.43,79.89,78.05,1.84,66.82,64.06,2.76,47.81,48.87,-1.07,71.1,70.45,0.65,0.15,1.23,-1.08
גולן,מועצה אזורית,6,10198,22,100.16,100.06,0.1,31.35,29.7,1.65,11.15,10.65,0.5,77.64,78.26,-0.62,60.23,63.38,-3.15,50.05,49.61,0.44,70.1,70.82,-0.72,1.08,0.54,0.55
חצור הגלילית,מועצה מקומית,4,5454,22,77.87,76.2,1.67,34.25,37.88,-3.63,4.65,4.71,-0.06,81.81,79.37,2.45,67.29,64.38,2.9,50.61,47.12,3.49,69.4,68.18,1.22,-3.06,1.59,-4.65
צפת,עירייה,2,15758,17,68.29,63.63,4.66,45.9,46.48,-0.58,3.55,2.74,0.81,77.91,77.75,0.16,72.62,71.3,1.32,52.06,49.6,2.46,63.3,62.45,0.85,-2.31,2.61,-4.92
ע'ג'ר,מועצה מקומית,3,1149,42,78.01,67.51,10.5,37.75,42.98,-5.23,4.2,3.06,1.14,81.78,78.62,3.16,48.74,65.64,-16.9,35.16,45.18,-10.02,63.4,65.39,-1.99,-21.36,1.81,-23.16
