anaf,n_nat,mon_nat,w_nat,n_eg,mon_eg,w_eg,ענף,s_nat,s_eg,c_mix,c_pay,tot,w_ratio
1,48460,8.918303755674783,8514.212737125943,4603.0,8.640017379969585,8268.105842909696,גידולים צמחיים,0.011302613361993365,0.05718154488310269,384.9774224494478,-8.427211744357301,376.5502107050905,97.10945801080226
2+3+4,7794,9.834103156274058,13491.943552413466,727.0,9.724896836313617,11140.193227718335,ייעור וכריתת עצים +,0.001817840869652833,0.00903128028025541,88.84121310857799,-12.757212093476761,76.08400101510122,82.56922499298149
5+6+7+8,4601,8.613344925016301,28798.881250397888,136.0,11.455882352941176,20525.884894904928,כריית פחם ופחם חום +,0.00107311853236755,0.001689482968520957,15.201015836774111,-11.427496074265,3.773519762509112,71.27320230406986
10,70086,9.785092600519363,10603.501311563767,1887.0,9.483836777954425,10705.041865528627,ייצור מוצרי מזון,0.01634657367083506,0.02344157618822828,75.59208374172631,2.0200553889630792,77.61213913068939,100.95761344277973
11+12,8521,10.205727027344208,14655.830429036789,755.0,9.744370860927152,12676.586164148588,ייצור משקאות +,0.0019874033936761342,0.009379115009068548,101.01667060429637,-11.2485581801893,89.76811242410706,86.49517491027439
13+14+15,8207,10.337273059583282,11017.55644930395,410.0,10.163414634146342,12632.729492485843,ייצור טקסטיל +,0.0019141673103978446,0.005093294243335238,37.59363050460727,5.659131501361594,43.25276200596886,114.65999335346211
16+17+18,16647,10.620171802727219,12918.736385820577,378.0,10.515873015873016,12673.846958530885,"ייצור מוצרי עץ ומוצרי עץ ושעם, פרט לרהיטים; ייצור מוצרי קש ומוצרים מחומרי קליעה +",0.003882678593419388,0.004695768838977366,10.404539937960879,-1.0503855393771862,9.354154398583692,98.10438559951979
19+20,19777,10.986651160438894,20195.658655272488,616.0,10.605519480519481,13856.20701325641,ייצור מוצרי נפט מזוקק +,0.004612707066862212,0.007652364033889041,51.752995359802775,-38.87691256455074,12.876082795252032,68.60982971525401
21,10954,11.23379587365346,22802.56226143833,106.0,9.69811320754717,11124.765552764844,"ייצור תרופות, כולל תרופות הומאופתיות, לבני אדם ולשימוש וטרינרי",0.0025548664211158755,0.0013168029019354518,-21.002093435020125,-22.606283638900443,-43.608377073920565,48.787348655015236
22,21481,10.786229691355151,14290.782820260454,959.0,10.580813347236704,14274.151614386092,ייצור מוצרי גומי ופלסטיק,0.005010141098410637,0.011913339461849984,98.59470432050213,-0.14072894465423233,98.4539753758479,99.88362284919212
23+24+25,55016,10.73856696233823,15346.608122502454,825.0,10.454545454545455,14556.992826796091,ייצור מוצרים אחרים על בסיס מינרלים אל-מתכתיים +,0.01283170814534517,0.010248701831101393,-38.62059503533218,-9.112322374287965,-47.73291740962014,94.85478947919074
26,63736,11.192104932847998,25982.41956012466,875.0,10.992,20315.2048031746,"ייצור מחשבים, מכשור אלקטרוני ואופטי",0.014865525489888756,0.010869835275410569,-92.49548231101087,-72.92390815226895,-165.41939046327983,78.18827171258692
