לוח,מהדורה,נספח,אוכלוסייה,משפחת מדדים,רמה גאוגרפית,פילוח מגדרי,שורות,עמודות,כיסוי,חסרות,התאמות fuzzy,שם הלוח
171,2016–2022,ז,עצמאים שאינם שכירים,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,276,19,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז העצמאים שאינם שכירים (הכנסה מעבודה עצמאית), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
125,2016–2022,ה,עצמאים · עצמאית ושכירה,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,275,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז העצמאים ששכרם אינו גבוה משכר המינימום (הכנסה מעבודה שכירה ועצמאית, לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016  (יישובים עם לפחות 2,000 תושבים)"
102,2016–2022,ד,שכירים שאינם עצמאים,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,276,19,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז השכירים שאינם עצמאים (הכנסה מעבודה שכירה), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש עבודה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
194,2016–2022,ח,שכיר וגם עצמאי,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,276,30,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז השכירים שהינם גם עצמאים (הכנסה מעבודה שכירה ועצמאית), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
56,2016–2022,ב,שכירים · שכירה ועצמאית,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,275,15,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז השכירים ששכרם אינו גבוה משכר המינימום (הכנסה מעבודה שכירה ועצמאית, לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
124,2023–2024,ח,שכיר וגם עצמאי,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,851,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
123,2023–2024,ח,שכיר וגם עצמאי,התפלגות קבוצת הכנסה,"יישוב (2,000+)",כן,851,20,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
114,2023–2024,ח,שכיר וגם עצמאי,שכר ממוצע וחציוני,"יישוב (2,000+)",כן,851,17,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"שכר ממוצע וחציוני, חודשי ושנתי של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
5,2016–2022,א,כלל העובדים,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,280,22,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז העובדים ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה ולפי ממוצע לחודש עבודה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
148,2016–2022,ו,עצמאים · עצמאית בלבד,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,277,19,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז העצמאים (הכנסה מעבודה עצמאית), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש בשנה), לפי יישוב, 2022-2016  (יישובים עם לפחות 2,000 תושבים)"
79,2016–2022,ג,שכירים · שכירה בלבד,שיעור עד שכר מינימום,"יישוב (2,000+)",לא,276,19,12/14,יסוד המעלה · מטולה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"אחוז השכירים (הכנסה מעבודה שכירה), ששכרם אינו גבוה משכר המינימום (לפי ממוצע לחודש עבודה), לפי יישוב, 2022-2016 (יישובים עם לפחות 2,000 תושבים)"
6,2023–2024,א,כלל העובדים,משך העבודה,"יישוב (2,000+)",כן,872,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של כלל העובדים, לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
7,2023–2024,א,כלל העובדים,משך העבודה,מועצה אזורית,כן,173,16,4/4,,,"משך העבודה של כלל העובדים, לפי מועצה איזורית ומין, 2024-2023"
8,2023–2024,א,כלל העובדים,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של כלל העובדים, לפי מחוז, נפה ומין, 2024-2023"
ישובים מעל 2000 תושבים,2023–2024,ח,שכיר וגם עצמאי,משך העבודה,"יישוב (2,000+)",כן,851,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
119,2023–2024,ח,שכיר וגם עצמאי,משך העבודה,מועצה אזורית,כן,171,16,4/4,,,"משך העבודה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מועצה איזורית ומין, 2024-2023"
120,2023–2024,ח,שכיר וגם עצמאי,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית), לפי מחוז, נפה ומין, 2024-2023"
86,2023–2024,ו,עצמאים · עצמאית בלבד,משך העבודה,"יישוב (2,000+)",כן,866,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
87,2023–2024,ו,עצמאים · עצמאית בלבד,משך העבודה,מועצה אזורית,כן,173,16,4/4,,,"משך העבודה של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי מועצה איזורית ומין, 2024-2023"
88,2023–2024,ו,עצמאים · עצמאית בלבד,משך העבודה,מחוז ונפה,כן,71,17,,,,"משך העבודה של עצמאים (הכנסה מעבודה עצמאית בלבד), לפי מחוז, נפה ומין, 2024-2023"
70,2023–2024,ה,עצמאים · עצמאית ושכירה,משך העבודה,"יישוב (2,000+)",כן,866,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
71,2023–2024,ה,עצמאים · עצמאית ושכירה,משך העבודה,מועצה אזורית,כן,173,16,4/4,,,"משך העבודה של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מועצה איזורית ומין, 2024-2023"
מחוז ונפה,2023–2024,ה,עצמאים · עצמאית ושכירה,משך העבודה,מחוז ונפה,כן,71,18,,,,"משך העבודה של עצמאים (הכנסה מעבודה עצמאית ושכירה), לפי מחוז, נפה ומין, 2024-2023"
102,2023–2024,ז,עצמאים שאינם שכירים,משך העבודה,"יישוב (2,000+)",כן,865,16,13/14,יסוד המעלה,קרית שמונה→קריית שמונה · טובא-זנגריה→טובא-זנגרייה,"משך העבודה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)"
